doc_id,doc_name,sector,category,law_ref,obligation,submit_to,frequency,tai_grade,tai_difficulty,existing_data,additional_input,priority,note
DOC-CON-040,장비 사용계획서,건설,작업시,산안법,법정필수,자체보관,수시,B,A,factory,장비종류 작업반경,3,입력폼 추가
DOC-CON-041,작업중지 및 재개 기록,건설,사고시,산안법 제52조,법정필수,고용노동부,발생시,C,A,factory,중지사유 재개조건,3,사고 입력폼
DOC-CON-042,낙하물 방지계획서,건설,작업시,산안법,법정필수,감리,수시,B,A,factory,방호시설 종류,3,입력폼 추가
DOC-CON-043,방호조치 점검기록,건설,정기,산안법 제38조,법정필수,자체보관,정기,A,S,inspections,-,1,점검모듈
DOC-CON-LAW-001,품질관리계획(법정),건설,착공전,건설기술진흥법 제55조,법정필수,발주자/인허가기관,착공전,X,X,-,시공사 전문,-,TAI 범위 밖
DOC-CON-LAW-002,품질시험계획,건설,착공전,건설기술진흥법 제55조,법정필수,발주자/인허가기관,착공전,X,X,-,시공사 전문,-,TAI 범위 밖
DOC-CON-LAW-003,품질관리계획 변경서,건설,변경시,건설기술진흥법 제55조,법정필수,발주자,변경시,X,X,-,시공사 영역,-,TAI 범위 밖
DOC-CON-LAW-004,품질시험계획 변경서,건설,변경시,건설기술진흥법 제55조,법정필수,발주자,변경시,X,X,-,시공사 영역,-,TAI 범위 밖
DOC-CON-LAW-005,품질관리계획 심사결과 통보서,건설,감독대응,건설기술진흥법 제55조,법정필수,건설사업자,제출시,X,X,-,발주청 영역,-,TAI 범위 밖
DOC-CON-LAW-006,품질시험 및 검사 기록,건설,일상,건설기술진흥법 제55조,법정필수,자체보관,시험시,X,X,-,시험기관,-,TAI 범위 밖
DOC-CON-LAW-007,품질관리계획 사본,건설,착공전,건설기술진흥법 제55조,법정필수,인허가기관,착공전,X,X,-,시공사 영역,-,TAI 범위 밖
DOC-CON-LAW-008,안전관리계획(법정),건설,착공전,건설기술진흥법 제62조,법정필수,발주청/감리,착공전,C,B,factory/법령엔진,공종별 안전대책,4,CON-001과 동일
DOC-CON-LAW-009,안전관리계획 변경서,건설,변경시,건설기술진흥법 제62조,법정필수,발주청/감리,변경시,C,B,factory,변경내용,4,008과 연계
DOC-CON-LAW-010,정기안전점검 결과보고서,건설,정기,건설기술진흥법 제62조,법정필수,발주청,정기,C,B,inspections/factory,점검결과 종합평가,3,점검데이터 활용
DOC-CON-LAW-011,정밀안전점검 결과보고서,건설,정기,건설기술진흥법 제62조,법정필수,발주청,필요시,X,X,-,전문 점검기관,-,TAI 범위 밖
DOC-CON-LAW-012,긴급안전점검 결과보고서,건설,사고시,건설기술진흥법 제62조,법정필수,발주청,즉시,X,X,-,전문 점검기관,-,TAI 범위 밖
DOC-CON-LAW-013,안전점검 종합보고서,건설,종료,건설기술진흥법 제62조,법정필수,발주청,종료시,X,X,-,전문 점검기관,-,TAI 범위 밖
DOC-CON-LAW-014,안전점검 실시기록,건설,일상,건설기술진흥법 제62조,법정필수,자체보관,수시,A,S,inspections,-,1,점검모듈
DOC-CON-LAW-015,건설공사 안전관리 이행기록,건설,일상,건설기술진흥법 제62조,법정필수,자체보관,수시,B,A,factory/inspections,이행내용,2,점검데이터 활용
DOC-SERA-001,안전보건관리체계 구축계획서,공통,일상,중대재해처벌법 제4조,법정필수,자체보관,상시,C,B,factory/법령엔진,체계 세부내용,2,핵심 문서
DOC-SERA-002,안전보건관리체계 점검기록,공통,정기,중대재해처벌법 제4조,법정필수,자체보관,정기,B,A,inspections,점검결과 개선내용,2,점검데이터
DOC-SERA-003,유해위험요인 확인 개선기록,공통,정기,중대재해처벌법 제4조,법정필수,자체보관,수시,B,A,inspections/법령엔진,위험요인 개선조치,2,법령엔진 연계
DOC-SERA-004,재해예방 인력예산 편성기록,공통,정기,중대재해처벌법 제4조,법정필수,자체보관,연/수시,B,A,factory,인력 예산 집행내역,3,입력폼 추가
DOC-SERA-005,종사자 의견청취 반영기록,공통,일상,중대재해처벌법 제4조,법정필수,자체보관,수시,B,A,workers,의견내용 반영결과,3,OSH-057과 유사
DOC-SERA-006,안전보건교육 실시 결과기록,공통,정기,중대재해처벌법 제4조,법정필수,자체보관,정기/수시,A,S,workers/교육모듈,-,1,OSH-006과 연계
DOC-SERA-007,도급용역위탁 안전보건 확보기록,공통,일상,중대재해처벌법 제5조,법정필수,자체보관,수시,B,A,factory,조치내용 확인자,3,입력폼 추가
DOC-SERA-008,협력업체 안전보건관리 점검기록,공통,정기,중대재해처벌법 제5조,법정필수,자체보관,정기,B,A,factory/inspections,점검결과,3,OSH-054와 유사
DOC-SERA-009,중대재해 발생 대응조치 기록,공통,사고시,중대재해처벌법 제4조,법정필수,수사기관,즉시,C,A,factory/workers,대응상세,3,OSH-053과 동일
DOC-SERA-010,중대재해 원인조사 재발방지 대책서,공통,사고시,중대재해처벌법 제4조,법정필수,감독기관,사고후,C,B,factory/inspections,원인분석 재발방지,3,전문 분석
DOC-SERA-011,중대재해 관련 보고자료,공통,사고시,중대재해처벌법,법정필수,고용노동부,요청시,C,A,factory/workers,보고내용,3,사고 데이터 종합
DOC-SERA-012,경영책임자 의무이행 입증자료,공통,감독대응,중대재해처벌법 제4조,법정필수,수사기관,요청시,C,B,전체 데이터 종합,포트폴리오 형태,2,모든 기록 종합
DOC-BLD-001,소방시설 자체점검 결과보고서,건물,정기,소방시설법 제25조,법정필수,소방서,연1회,D,C,inspections,소방점검 결과 상세,3,관공서 제출
DOC-BLD-002,소방시설 작동기능점검 기록,건물,정기,소방시설법 제25조,법정필수,자체보관,연1회,A,S,inspections,-,1,점검모듈
DOC-BLD-003,소방시설 종합정밀점검 보고서,건물,정기,소방시설법 제25조,법정필수,소방서,연1회,X,X,-,전문 점검기관,-,TAI 범위 밖
DOC-BLD-004,소방안전관리자 선임신고서,건물,일상,소방시설법 제20조,법정필수,소방서,수시,D,C,factory/workers,자격정보,3,관공서 제출
DOC-BLD-005,소방계획서,건물,정기,소방시설법 제21조,법정필수,자체보관,연1회,C,B,factory/법령엔진,소방시설 현황,3,법령엔진 연계
DOC-BLD-006,소방훈련 교육 기록부,건물,정기,소방시설법 제22조,법정필수,자체보관,연1회이상,B,A,workers,훈련내용 참석자,2,입력폼 추가
DOC-BLD-007,피난계획 대피훈련 기록,건물,정기,소방시설법,법정필수,자체보관,정기,B,A,factory/workers,훈련내용 대피경로,3,입력폼 추가
DOC-BLD-008,전기안전관리자 선임신고서,건물,일상,전기안전관리법 제17조,법정필수,전기안전공사,수시,D,C,factory/workers,자격정보,3,관공서 제출
DOC-BLD-009,전기설비 점검기록부,건물,정기,전기안전관리법 제11조,법정필수,자체보관,월/분기,A,S,inspections,-,1,점검모듈
DOC-BLD-010,전기설비 정기검사 결과서,건물,정기,전기안전관리법,법정필수,전기안전공사,정기,X,X,-,검사기관,-,TAI 범위 밖
DOC-BLD-011,승강기 유지관리 점검기록부,건물,정기,승강기안전관리법 제17조,법정필수,자체보관,월,A,S,inspections,-,1,점검모듈
DOC-BLD-012,승강기 정기검사 결과서,건물,정기,승강기안전관리법 제13조,법정필수,승강기안전공단,연1회,X,X,-,검사기관,-,TAI 범위 밖
DOC-BLD-013,승강기 사고 보고서,건물,사고시,승강기안전관리법,법정필수,승강기안전공단,즉시,C,A,factory,사고상세,4,사고 입력폼
DOC-BLD-014,석면관리대장,건물,일상,석면안전관리법 제22조,법정필수,자체보관,상시,B,A,factory,석면 위치 상태,3,입력폼 추가
DOC-BLD-015,석면건축물 관리계획서,건물,정기,석면안전관리법 제21조,법정필수,지자체,수시,C,B,factory,석면 관리방안,4,전문 영역
DOC-BLD-016,석면점검 기록부,건물,정기,석면안전관리법,법정필수,자체보관,정기,A,S,inspections,-,2,점검모듈
DOC-BLD-017,시설물 안전점검 결과보고서,건물,정기,시설물안전법 제6조,법정필수,국토부/지자체,정기,X,X,-,전문 점검기관,-,TAI 범위 밖
DOC-BLD-018,시설물 정밀안전진단 보고서,건물,정기,시설물안전법 제12조,법정필수,국토부/지자체,정기,X,X,-,전문 진단기관,-,TAI 범위 밖
DOC-BLD-019,시설물 유지관리계획서,건물,정기,시설물안전법 제7조,법정필수,자체보관,정기,C,B,factory,유지관리 항목,4,입력폼+법령엔진
DOC-FAC-001,가스안전관리자 선임신고서,건물,일상,고압가스안전관리법 제15조,법정필수,지자체/가스안전공사,수시,D,C,factory/workers,자격정보,4,관공서 제출
DOC-FAC-002,가스시설 정기점검 기록부,건물,정기,고압가스안전관리법 제17조,법정필수,자체보관,정기,A,S,inspections,-,2,점검모듈
DOC-FAC-003,가스시설 검사 결과서,건물,정기,고압가스안전관리법 제16조,법정필수,가스안전공사,정기,X,X,-,검사기관,-,TAI 범위 밖
DOC-FAC-004,가스사고 보고서,건물,사고시,고압가스안전관리법,법정필수,지자체/가스안전공사,즉시,C,A,factory,사고상세,4,사고 입력폼
DOC-FAC-005,가스안전관리계획서,건물,정기,고압가스안전관리법,법정필수,자체보관,정기,C,B,factory,가스시설 현황,4,입력폼+법령
DOC-FAC-006,위험물 안전관리자 선임신고서,건물,일상,위험물안전관리법 제15조,법정필수,소방서,수시,D,C,factory/workers,자격정보,4,관공서 제출
DOC-FAC-007,위험물 저장취급 기록부,건물,일상,위험물안전관리법 제18조,법정필수,자체보관,상시,B,A,factory,위험물 종류 수량,3,입력폼 추가
DOC-FAC-008,위험물 시설 점검기록부,건물,정기,위험물안전관리법 제18조,법정필수,자체보관,정기,A,S,inspections,-,2,점검모듈
DOC-FAC-009,위험물 시설 검사 결과서,건물,정기,위험물안전관리법 제13조,법정필수,소방서,정기,X,X,-,검사기관,-,TAI 범위 밖
DOC-FAC-010,위험물 사고 보고서,건물,사고시,위험물안전관리법,법정필수,소방서,즉시,C,A,factory,사고상세,4,사고 입력폼
DOC-FAC-011,위험물 예방규정,건물,일상,위험물안전관리법 제17조,법정필수,소방서,상시,C,B,factory,예방조치 세부사항,4,법령엔진 연계
DOC-FAC-012,보일러 관리자 선임신고서,건물,일상,에너지이용합리화법,법정필수,지자체,수시,D,C,factory/workers,자격정보,5,관공서 제출
DOC-FAC-013,보일러 운전일지,건물,일상,에너지이용합리화법,법정필수,자체보관,일일,A,S,inspections,-,2,점검모듈
DOC-FAC-014,보일러 정기검사 결과서,건물,정기,에너지이용합리화법,법정필수,검사기관,정기,X,X,-,검사기관,-,TAI 범위 밖
DOC-FAC-015,보일러 사고 보고서,건물,사고시,에너지이용합리화법,법정필수,관계기관,즉시,C,A,factory,사고상세,5,사고 입력폼
DOC-FAC-016,냉동기 설비 점검기록부,건물,정기,에너지이용합리화법,법정필수,자체보관,정기,A,S,inspections,-,2,점검모듈
DOC-FAC-017,냉동설비 검사 결과서,건물,정기,에너지이용합리화법,법정필수,검사기관,정기,X,X,-,검사기관,-,TAI 범위 밖
DOC-FAC-018,냉동설비 사고 보고서,건물,사고시,에너지이용합리화법,법정필수,관계기관,즉시,C,A,factory,사고상세,5,사고 입력폼
DOC-CHEM-001,유해화학물질 취급시설 설치검사 신청서,공통,착공전,화학물질관리법 제24조,법정필수,환경부/지자체,1회,X,X,-,전문 영역,-,TAI 범위 밖
DOC-CHEM-002,유해화학물질 취급시설 검사 결과서,공통,정기,화학물질관리법 제24조,법정필수,환경부/지자체,정기,X,X,-,검사기관,-,TAI 범위 밖
DOC-CHEM-003,유해화학물질 취급시설 자체점검 기록,공통,정기,화학물질관리법 제24조,법정필수,자체보관,정기,A,S,inspections,-,2,점검모듈
DOC-CHEM-004,장외영향평가서,공통,착공전,화학물질관리법 제41조,법정필수,환경부,1회,X,X,-,전문 컨설팅,-,TAI 범위 밖
DOC-CHEM-005,위해관리계획서,공통,정기,화학물질관리법 제42조,법정필수,환경부,정기,X,X,-,전문 컨설팅,-,TAI 범위 밖
DOC-CHEM-006,화학사고 즉시신고서,공통,사고시,화학물질관리법 제43조,법정필수,환경부/지자체,즉시,D,C,factory,사고상세,4,관공서 제출
DOC-CHEM-007,화학사고 조사보고서,공통,사고시,화학물질관리법 제44조,법정필수,환경부,사고후,C,B,factory,원인분석 상세,4,전문 분석
DOC-CHEM-008,유해화학물질 취급기록부,공통,일상,화학물질관리법 제29조,법정필수,자체보관,상시,B,A,factory,화학물질 종류 수량,3,입력폼 추가
DOC-CHEM-009,유해화학물질 관리자 선임신고서,공통,일상,화학물질관리법 제31조,법정필수,지자체,수시,D,C,factory/workers,자격정보,4,관공서 제출
DOC-CHEM-010,화학물질 등록신청서,공통,착공전,화학물질등록평가법 제10조,법정필수,환경부,1회,X,X,-,전문 영역,-,TAI 범위 밖
DOC-CHEM-011,유해성위해성 자료 제출서,공통,착공전,화학물질등록평가법,법정필수,환경부,1회,X,X,-,전문 영역,-,TAI 범위 밖
DOC-CHEM-012,화학물질 정보제공서,공통,일상,화학물질등록평가법 제29조,법정필수,수요자,수시,X,X,-,제조사 영역,-,TAI 범위 밖
